"学名","汉语名","英名","西班牙名","记录数","百分比"
"Pavo muticus","绿孔雀","Green Peafowl","Pavo real cuelliverde","103","2.45"
"Lophura nycthemera","白鹇","Silver Pheasant","Faisán plateado","80","1.90"
"Chrysolophus amherstiae","白腹锦鸡","Lady Amherst's Pheasant","Faisán de Lady Amherst","76","1.81"
"Lophophorus sclateri","白尾梢虹雉","Sclater's Monal","Monal coliblanco","74","1.76"
"Phasianus colchicus","雉鸡","Common Pheasant","Faisán vulgar","74","1.76"
"Gallus gallus","红原鸡","Red Junglefowl","Gallo bankiva","72","1.71"
"Syrmaticus humiae","黑颈长尾雉","Mrs. Hume's Pheasant","Faisán de Hume","68","1.62"
"Bambusicola fytchii","棕胸竹鸡","Mountain Bamboo Partridge","Bambusícola montana","51","1.21"
"Copsychus malabaricus","白腰鹊鸲","White-rumped Shama","Shama malabar","51","1.21"
"Lonchura striata","白腰文鸟","White-rumped Munia","Capuchino culiblanco","46","1.09"
"Pycnonotus aurigaster","白喉红臀鹎","Sooty-headed Bulbul","Bulbul ventridorado","45","1.07"
"Francolinus pintadeanus","中华鹧鸪","Chinese Francolin","Francolín chino","44","1.05"
"Pycnonotus xanthorrhous","黄臀鹎","Brown-breasted Bulbul","Bulbul pechipardo","44","1.05"
"Polyplectron bicalcaratum","灰孔雀雉","Grey Peacock-Pheasant","Espolonero chinquis","41","0.98"
NULL,NULL,NULL,NULL,"40","0.95"
"Psilopogon asiaticus","蓝喉拟啄木鸟","Blue-throated Barbet","Barbudo gorjiazul común","39","0.93"
"Motacilla alba","白鹡鸰","White Wagtail","Lavandera blanca","39","0.93"
"Copsychus saularis","鹊鸲","Oriental Magpie-Robin","Shama oriental","39","0.93"
"Tragopan temminckii","红腹角雉","Temminck's Tragopan","Tragopán cariazul","37","0.88"
"Arborophila rufogularis","红喉山鹧鸪","Rufous-throated Partridge","Arborófila golirrufa","36","0.86"
"Ithaginis cruentus","血雉","Blood Pheasant","Faisán ensangrentado","36","0.86"
"Aythya nyroca","白眼潜鸭","Ferruginous Duck","Porrón pardo","34","0.81"
"Tachybaptus ruficollis","小䴙䴘","Little Grebe","Zampullín común","34","0.81"
"Pycnonotus flaviventris",NULL,NULL,NULL,"33","0.79"
"Anas platyrhynchos","绿头鸭","Mallard","Ánade azulón","32","0.76"
"Fulica atra","白骨顶","Eurasian Coot","Focha común","31","0.74"
"Arborophila torqueola","环颈山鹧鸪","Hill Partridge","Arborófila común","31","0.74"
"Upupa epops","戴胜","Eurasian Hoopoe","Abubilla común","30","0.71"
"Chroicocephalus ridibundus","红嘴鸥","Black-headed Gull","Gaviota reidora","29","0.69"
"Saxicola ferreus","灰林䳭","Grey Bush Chat","Tarabilla gris","28","0.67"
"Lanius schach","棕背伯劳","Long-tailed Shrike","Alcaudón schach","27","0.64"
"Gallinula chloropus","黑水鸡","Common Moorhen","Gallineta común","26","0.62"
"Pycnonotus jocosus","红耳鹎","Red-whiskered Bulbul","Bulbul orfeo","25","0.59"
"Egretta garzetta","白鹭","Little Egret","Garceta común","25","0.59"
"Sitta nagaensis","栗臀䴓","Chestnut-vented Nuthatch","Trepador de las Naga","24","0.57"
"Grus nigricollis","黑颈鹤","Black-necked Crane","Grulla cuellinegra","24","0.57"
"Aethopyga siparaja","黄腰太阳鸟","Crimson Sunbird","Suimanga siparaja","24","0.57"
"Hirundo rustica","家燕","Barn Swallow","Golondrina común","23","0.55"
"Crossoptilon crossoptilon","白马鸡","White Eared Pheasant","Faisán orejudo blanco","23","0.55"
"Hypsipetes leucocephalus","黑短脚鹎","Black Bulbul","Bulbul negro","22","0.52"
